followee,country,count,rank
15250661,Australia,2352,15
42420346,Indonesia,2340,15
15846407,Australia,2333,16
50393960,Australia,2326,17
85436197,Australia,2314,18
129673790,Australia,2301,19
821045162,Australia,2297,20
160926944,United Kingdom,2290,18
759251,Singapore,2280,21
114356023,Singapore,2274,22
5920532,United Kingdom,2271,19
807095,Singapore,2265,23
742143,United Kingdom,2260,20
55507370,Indonesia,2255,16
124476322,United Kingdom,2254,21
18332190,United States,2229,3
428333,United States,2209,4
18909186,United Kingdom,2203,22
15066760,Australia,2195,21
93766096,Australia,2191,22
260907612,United Kingdom,2181,23
428333,Australia,2177,23
15066760,United Kingdom,2168,24
16834659,Australia,2151,24
19617105,United Kingdom,2145,25
108543358,Indonesia,2142,17
783214,United Kingdom,2131,26
16857864,Australia,2122,25
130033681,Indonesia,2107,18
16365636,United Kingdom,2104,27
21425125,Indonesia,2085,19
180505807,Indonesia,2084,20
10228272,United States,2077,5
821045162,United States,2076,6
37890902,Singapore,2061,24
45621423,United States,2046,7
38140836,Singapore,2045,25
14293310,Singapore,2043,26
16898427,United States,2039,8
16898427,Australia,2038,26
783214,Australia,2028,27
807095,United States,2028,9
742143,Australia,2027,28
16898427,Indonesia,2027,21
50393960,Singapore,2019,27
5402612,United States,2010,10
21814628,Australia,2005,29
19106719,United Kingdom,1975,28
65268724,Singapore,1975,28
16548023,Singapore,1973,29
16912985,Indonesia,1972,22
18332190,Australia,1969,30
18753424,Australia,1963,31
45621423,Australia,1949,32
21401523,United Kingdom,1947,29
44835347,Australia,1944,33
50393960,United Kingdom,1937,30
759251,United States,1935,11
41730943,Indonesia,1935,23
22919665,China,1934,1
50393960,United States,1934,12
87818409,United Kingdom,1930,31
606437303,Singapore,1926,30
15425377,United Kingdom,1923,32
527526077,United Kingdom,1922,33
72539067,Indonesia,1915,24
33873560,Indonesia,1911,25
783214,United States,1909,13
71436318,Indonesia,1905,26
17919972,Singapore,1899,31
14589119,Brazil,1894,1
10228272,United Kingdom,1883,34
807095,United Kingdom,1875,35
14589119,Australia,1874,34
21469205,Australia,1864,35
19913832,United Kingdom,1861,36
29498906,Singapore,1861,32
22919665,Thailand,1860,1
10228272,Australia,1856,36
20609518,Australia,1850,37
45621423,Indonesia,1837,27
813286,Indonesia,1835,28
218730857,United States,1832,14
10228272,Indonesia,1821,29
14700117,United Kingdom,1821,37
7587032,United Kingdom,1819,38
27042513,Australia,1819,38
73287339,Singapore,1813,33
23965492,Singapore,1811,34
125225621,Indonesia,1795,30
21447363,Singapore,1792,35
22993014,Australia,1790,39
742143,United States,1786,15
14224719,United Kingdom,1786,39
5988062,United Kingdom,1783,40
1652541,Singapore,1775,36
15439395,Australia,1774,40
22919665,United States,1771,16
19106719,Australia,1766,41
209004862,United Kingdom,1766,41
106038219,Indonesia,1764,31
18332190,Netherlands,1753,1
783214,Indonesia,1750,32
